DIST_ID,pop_mean_present,pop_mean_near,pop_mean_far,pop_p90_present,pop_p90_near,pop_p90_far,pop_max_present,pop_max_near,pop_max_far,sys_mean_present,sys_mean_near,sys_mean_far,sys_p90_present,sys_p90_near,sys_p90_far,sys_max_present,sys_max_near,sys_max_far,pop_change_mean_near,pop_change_mean_far,pop_change_p90_near,pop_change_p90_far,pop_change_max_near,pop_change_max_far,sys_change_mean_near,sys_change_mean_far,sys_change_p90_near,sys_change_p90_far,sys_change_max_near,sys_change_max_far,haz_present,haz_near,haz_far,exp_pop,exp_sys,vul,district,state,has_data,data_status
25,0.001105725589133033,0.00107800387489087,0.0018246701604955574,0.0014226622497249554,0.0015380454563520573,0.0025260049694832186,0.0043395189481735645,0.0036017354020524382,0.006266968341718272,0.01449845593431784,0.014517825268905828,0.024718583834561155,0.019723397110487748,0.019907395547732444,0.03614363832161892,0.025989698752602812,0.0228663368090291,0.03974581444683387,,,,,,,0.13359584410737352,70.49114710244609,0.9328942484601545,83.25260156324616,-12.017691983678388,52.92910789454,0.1175264038664991,0.11964299998546385,0.20141513432163266,0.015255542641336267,0.20560893416404724,0.5887502018409233,Y.S.R.,Andhra Pradesh,True,Valid
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12277921911426395,0.1568061932543797,0.13740768871611164,0.00015995331595775042,0.0038072770577855406,,ANJAW,Arunanchal Pradesh,False,No grid / masked
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10186341198248358,0.12179078201811332,0.12290001858403368,0.005657722731513104,0.024857978853106033,,CHANGLANG,Arunanchal Pradesh,False,No grid / masked
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.151560943748955,0.17442011942630503,0.13731852673650652,8.1477388289386e-05,0.004634808422997594,,DIBANG VALLEY,Arunanchal Pradesh,False,No grid / masked
29,0.0001476925625651079,0.0001446982218286951,0.0001371103035881167,0.00041570608410768046,0.00038295436988520517,0.00037976783312246927,0.0004448232876169452,0.0003847165150046427,0.0004095549083015436,0.0026558701875275584,0.0024802794189341315,0.0024493769361601555,0.008814066257597663,0.00797255688495825,0.008065885599884262,0.008870509350941556,0.008545610866661509,0.008080586532549013,,,,,,,,,-9.547345663688857,-8.488484609115277,-3.662681266950708,-8.905044650098896,0.1596113259140519,0.19464742260692094,0.16810881988689494,0.0016209593491761812,0.02611727936060301,0.4629707425069908,EAST KAMENG,Arunanchal Pradesh,True,Valid
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11722940643287506,0.11646972891769027,0.10176662134445702,0.0028461040887382944,0.029885329638740847,,EAST SIANG,Arunanchal Pradesh,False,No grid / masked
31,2.9860674489249858e-05,3.943109587665896e-05,2.910062692588371e-05,6.792190808763207e-05,9.628247268701493e-05,7.102086218874017e-05,0.00012891057085359832,0.00016878223136330454,0.0001293568616982785,0.00015314226986650405,0.00020156081022548085,0.0001523824804337478,0.0002735825719555149,0.00030988687365524477,0.0001923309609488521,0.00039271979362847753,0.0005141868710241671,0.00039407939701290544,,,,,,,,,,,,,0.1591435506667644,0.21682031554172532,0.16769769435007106,0.000389998160657838,0.0021804890923456037,0.449248099108639,KURUNG KUMEY,Arunanchal Pradesh,True,Valid
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09692648547846136,0.1255598980257946,0.12020730952026559,0.0035782635473879053,0.044127344992011784,,LOHIT,Arunanchal Pradesh,False,No grid / masked
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11602170553971665,0.1526146516466781,0.12917857706109187,0.001728501390466085,0.017237304140710168,,LOWER DIBANG VALLEY,Arunanchal Pradesh,False,No grid / masked
34,0.00010917838258426217,0.00011177284406733621,8.795859368351156e-05,0.00022441211715268255,0.00021801227107176314,0.00017513814298331275,0.00026743454722960694,0.00025490809539916636,0.00020716248690528364,0.0005094718186525997,0.0006072918445875155,0.000512310558413661,0.0006201886950065931,0.0007715623745879867,0.0007247924928908943,0.0006514430957277629,0.0008359713183327007,0.0008100971760642383,,,,,,,,,,,,,0.15808249193102084,0.18409047296486847,0.14722863053995447,0.0024301224815038345,0.011140445868174234,0.31498188874120864,LOWER SUBANSIRI,Arunanchal Pradesh,True,Valid
35,0.00036736633381704334,0.00040706994358436036,0.00037128490480943093,0.0009715492535539956,0.0010730918920064999,0.0009841207929534588,0.0016332224669902693,0.001821895929490629,0.00169023717715174,0.002594194133012446,0.002860763860505482,0.0026039083188087856,0.005576820554032216,0.006146923280999863,0.005707912524947104,0.008951764441281769,0.009985892018363581,0.00926426458462965,,,,,,,,,10.222719584467262,2.350657864006484,11.552220613769181,3.4909334958230316,0.16001314407015182,0.17879486275786283,0.15816332728887547,0.005440428251555811,0.039650553837418556,0.49631509955935105,PAPUM PARE,Arunanchal Pradesh,True,Valid
36,3.6583945945412636e-05,3.5530810851634006e-05,2.609272599421946e-05,7.485429101017672e-05,7.222266900618904e-05,5.252930154789576e-05,7.862964607886202e-05,7.338834637982127e-05,5.3184889164661765e-05,0.0004469084148945174,0.0004355089117587571,0.00033012361418944776,0.000731115106313635,0.0007020639356402731,0.000510368340588474,0.0008334763412008611,0.0007779184248913783,0.0005637612406861943,,,,,,,,,,,,,0.2177995835263434,0.21349065258177546,0.16611635893560572,0.0007477458821085747,0.008622533082962036,0.29190795195931385,TAWANG,Arunanchal Pradesh,True,Valid
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11345755968512349,0.15280370180529346,0.1422726040374508,0.006174087849406836,0.03577598060170809,,TIRAP,Arunanchal Pradesh,False,No grid / masked
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15121335701057312,0.16387044385916139,0.14943905404977118,0.0003601539889738585,0.004775804001837969,,UPPER SIANG,Arunanchal Pradesh,False,No grid / masked
39,2.9872290516052897e-05,4.793832401637375e-05,4.181305012422846e-05,6.737754512935737e-05,0.00010902945192964422,9.508363653692614e-05,0.00013231421342699314,0.00021216621747225626,0.00018732702414800718,0.00014766414190545358,0.00023008589214020713,0.00019545201929729422,0.00021382398214553791,0.000335129459624714,0.0002883579610699813,0.00022687652564516424,0.0003858671427675595,0.000321850849492932,,,,,,,,,,,,,0.12724914594382075,0.1910357011166417,0.16239057921998762,0.0008417398112214869,0.0033682742796372622,0.37768465005001073,UPPER SUBANSIRI,Arunanchal Pradesh,True,Valid
40,0.00018589592793660903,0.00017500246892659192,0.0001491540686742414,0.00046480254685368,0.000450634289245576,0.000403116339131673,0.00048305589483740196,0.0005122939400082015,0.0004132842153155394,0.0031570065850863843,0.002790760897544999,0.0024538379308384653,0.010488809838080107,0.008228370098386131,0.007464775673376967,0.012756408502746173,0.011493154756995213,0.01057825886228653,,,,,,,,,-21.55096502452876,-28.831051486168096,-9.902895046666224,-17.07494425245738,0.19603450301220113,0.20618129888696896,0.16673711105825917,0.0013351492412362455,0.022195511678647663,0.5346616080130506,WEST KAMENG,Arunanchal Pradesh,True,Valid
41,1.649907164434553e-05,2.430697656754429e-05,2.2562449063067905e-05,3.0738857475832746e-05,4.434471539663837e-05,4.16370431150281e-05,3.161615649713851e-05,4.443624830935151e-05,4.23277971659995e-05,0.0002082744176997719,0.00030006718837564516,0.0002794918820173132,0.00028846940586578295,0.0004329308267197245,0.00040857600286222127,0.0002961215999557549,0.00045546711373855946,0.00043685525045516387,,,,,,,,,,,,,0.1299358144175149,0.16850764102506613,0.1608527111598894,0.0019824799052333797,0.015600407517261126,0.3647728589932591,WEST SIANG,Arunanchal Pradesh,True,Valid
42,0.0030243599097389408,0.0030268892143322625,0.0026261605353289355,0.0051863692760804,0.00496203232620261,0.004293045102807074,0.006129182009758581,0.0057038769452527754,0.00496725648469982,0.01636025143386001,0.016608916826954766,0.01465035578783218,0.023857435503506247,0.022830734900671928,0.019751605096364738,0.028144775057036907,0.026191803950602763,0.02280929432180313,,,-4.3255105438102,-17.22446138560454,-6.939018352345476,-18.95726906475938,1.5199362558701646,-10.451524250348271,-4.303482671821238,-17.20985646817777,-6.93901835234548,-18.957269064759398,0.17338346544696798,0.18086523167407587,0.1614636194930823,0.031448228284716606,0.17035576701164246,0.5512292501286893,BAKSA,Assam,True,Valid
43,0.005740759338508977,0.006097297983896954,0.005847713851524199,0.0068498044607737145,0.007064843942943188,0.006669321148329067,0.007380221840177181,0.007436808299301273,0.007127334899508847,0.029113320922541607,0.031039624216103408,0.029894197315892736,0.03082603843287127,0.03206128221572277,0.0322528912240899,0.031204027438994534,0.03265243182750636,0.032759538495317056,6.210653057624598,1.8630725781826871,3.1393521289684263,-2.6348680970122382,0.7667311410077275,-3.426549311724521,6.61657012158417,2.6821962201725986,4.0071441081910155,4.628725790781819,4.641722583225926,4.984968877378491,0.19063827901638888,0.20250253691753603,0.1955847168086675,0.05530348792672157,0.27936452999711037,0.5512292501286893,BARPETA,Assam,True,Valid
44,0.005119002426771612,0.005430191906261625,0.005219506763984781,0.005119002426771612,0.005430191906261625,0.005219506763984781,0.005119002426771612,0.005430191906261625,0.005219506763984781,0.028115574237659414,0.029824749225899828,0.02866758357825777,0.028115574237659414,0.029824749225899828,0.02866758357825777,0.028115574237659414,0.029824749225899828,0.02866758357825777,6.079103964915871,1.9633578739393964,6.079103964915871,1.9633578739393964,6.079103964915871,1.9633578739393964,6.079103964915855,1.963357873939379,6.079103964915855,1.963357873939379,6.079103964915855,1.963357873939379,0.2347254730529012,0.24899467859192762,0.2393339741102268,0.03956333175301552,0.21729737520217896,0.5512292501286893,BONGAIGAON,Assam,True,Valid
45,0.0031181343298158897,0.0027061274717098617,0.0022177121854490274,0.006206974542213537,0.005360661703577166,0.004709174708150227,0.008637083408839808,0.007564515210287173,0.007019965384384282,0.01685862804462716,0.014649297659523825,0.01136212420406915,0.02776313806818685,0.024364897376982254,0.019450948538701475,0.029453703634641084,0.02579609094842138,0.023939097282014998,,,-13.634868854070694,-24.13091634059068,-12.418175763532535,-18.722964082996487,-13.105042588607606,-32.60350620470415,-12.240117391839664,-29.939661392276566,-12.418175763532545,-18.722964082996505,0.2032771414872071,0.1756623838574076,0.1349863193696352,0.02443623434131344,0.12725992617197335,0.641118614803709,CACHAR,Assam,True,Valid
